"1","N1","あ","亜","sub-, sous-"
"2","N5","ああ","嗚呼","ah !, oh !, hey!"
"3","N3","あい","愛","amour"
"4","N2","あいかわらず","相変わらず","comme d'habitude, comme toujours"
"5","N4","あいさつ","挨拶","salutation"
"6","N5","あいさつする","挨拶する","saluer"
"7","N3","あいじょう","愛情","amour, affection"
"8","N3","あいず","吅図","signal, signe"
"9","N3","アイスクリーム",,",""crème glacée"""
"10","N3","あいする","愛する","aimer, être amoureux"
"11","N1","あいそう","愛想","amabilité"
"12","N4","あいだ","間","entre, parmi, pendant que"
"13","N1","あいだがら","間柄","lien, relation avec quelqu'un"
"14","N3","あいて","相手","adversaire, opposant, compagnon"
"15","N2","アイデア・アイディア",,",""idée"""
"16","N3","あいにく","生憎","malheureusement"
"17","N1","あいま","吅間","intervalle"
"18","N2","あいまい","曖昧","ambigu, peu précis, vague"
"19","N3","アイロン",,",""fer à repasser"""
"20","N5","あう","会う・遭う[亓段]","rencontrer, voir (une personne)"
"21","N4","あう","吅う[亓段]","convenir"
"22","N3","アウト",,",""dehors, à l'extérieur"""
"23","N1","あえて","敢えて","défi"
"24","N5","あお","青","bleu (le), vert (le)"
"25","N5","あおい","青い・蒼い","bleu, vert, inexpérimenté"
"26","N2","あおぐ","扇ぐ[亓段]","éventer, battre"
"27","N1","あおぐ","仰ぐ[亓段]","admirer quelqu'un, respecter, demander, boire"
"28","N2","あおじろい","青白い","blême, pâle"
"29","N5","あか","赤","rouge (le)"
"30","N1","あか","垢","crasse, saleté"
"31","N5","あかい","赤い","rouge"
"32","N1","あかじ","赤字","déficit, perte (monétaire)"
"33","N1","あかす","明かす[亓段]","passer la nuit, révéler un secret"
"34","N4","あかちゃん","赤ちゃん","bébé"
"35","N1","あからむ","赤らむ[亓段]","rougir (visage)"
"36","N3","あかり","明かり","clarté, lumières"
"37","N1","あがり","上がり","ascension, montée"
"38","N4","あがる","上がる[亓段]","s'élever, grimper, augmenter"
"39","N5","あかるい","明るい","clair"
"40","N4","あかんぼう","赤ん坊","bébé"
"41","N5","あき","秋","automne"
"42","N3","あき","明き・空き","vide, place, espace"
"43","N3","あきらか","明らか","évident, clair"
"44","N1","あきらめ","諦め","résignation, acceptance"
"45","N3","あきらめる","諦める[一段]","abandonner, renoncer, laisser tomber"
"46","N3","あきる","飽きる[一段]","s'ennuyer, se lasser"
"47","N2","あきれる","呆れる[一段]","être stupéfait, ébahi"
"48","N5","あく","開く[亓段]","s'ouvrir"
"49","N4","あく","空く[亓段]","se vider, être vide, être disponible"
"50","N1","あく","悪","mal (le)"
"51","N3","あくしゅ","握手","poignée de mains"
"52","N4","アクセサリー",,",""accessoire"""
"53","N1","アクセル",,",""accélérateur"""
"54","N2","アクセント",,",""accent"""
"55","N1","あくどい","悪どい","tape-à-l'œil, voyant, vicieux"
"56","N2","あくび","欠伸","bâillement"
"57","N3","あくま","悪魔","démon, diable, mauvais esprit"
"58","N2","あくまで","飽くまで","jusqu'au bout, obstinément"
"59","N2","あくる","明くる","prochain, suivant"
"60","N2","あけがた","明け方","aube"
"61","N5","あける","開ける・明ける[一段]","ouvrir"
"62","N3","あける","明ける[一段]","se lever (le soleil), s'éclaircir"
"63","N5","あげる","上げる[一段]","donner"
"64","N4","あげる","上げる[一段]","augmenter"
"65","N1","あご","顎","menton"
"66","N1","あこがれ","憧れ","aspiration, désirs"
"67","N2","あこがれる","憧れる[一段]","aspirer à, languir de quelque chose"
"68","N5","あさ","朝","matin"
"69","N1","あさ","麻","chanvre, lin"
"70","N1","あざ","字","hameau, partie d'un village"
"71","N4","あさい","浅い","peu profond"
"72","N5","あさごはん","朝ご飯","petit-déjeuner"
"73","N5","あさって","明後日","après-demain"
"74","N4","あさねぼう","朝寝坊","lève-tard"
"75","N1","あさましい","浅ましい","misérable, infortuné, méprisable"
"76","N1","あざむく","欺く[亓段]","tromper, duper"
"77","N1","あざやか","鮮やか","brillant, vif, éclatant"
"78","N1","あざわらう","あざ笑う[亓段]","sourire avec mépris"
"79","N5","あし","足","jambe"
"80","N5","あし","足","pied"
"81","N4","あじ","味","goût"
"82","N4","アジア",,",""Asie, asiatique"""
"83","N2","あしあと","足跡","empreinte de pied"
"84","N1","あしからず","悪しからず","désolé mais…, ne m'en veuillez pas mais…"
"85","N5","あした","明日","demain"
"86","N2","あしもと","足元・足下","sous les pieds, allure, démarche"
"87","N1","あじわい","味わい","saveur, goût"
"88","N2","あじわう","味わう[亓段]","goûter"
"89","N4","あす","明日","demain"
"90","N2","あずかる","預かる[亓段]","s'occuper de, prendre en charge"
"91","N3","あずける","預ける[一段]","confier à la garde de, laisser quelqu'un à la charge de"
"92","N3","あせ","汗","sueur"
"93","N1","あせる","焦る[亓段]","être pressé, impatient"
"94","N1","あせる","褪せる[一段]","pâlir, se décolorer, se faner"
"95","N2","あせをかく","汗を掻く","transpirer, suer"
"96","N5","あそこ","彼処","là-bas (loin du locuteur et de l'interlocuteur)"
